Date,Time,Location,Operator,Flight,Route,Type,Registration,cn,Aboard,Fatalities,Ground
03/01/1938,21:30,Near Wawona Cailifornia,Trans Continental and Western Air,8,San Francisco - Burbank,Douglas DC-2-112,NC13789,1299,9.0,9.0,0.0
05/24/1938,22:17,Cleveland Ohio,United Air Lines,9,Newark - Cleveland - Chicago,Douglas DST-A-207A,NC18108,1956,10.0,10.0,0.0
07/29/1938,04:11,PacifiOcean between Manila and Guam,Pan American World Airways,229,Alameda - Manila,Martin M-130 (flying boat),NC14714,556,15.0,15.0,0.0
11/29/1938,05:30,Off Point Reyes California,United Air Lines,6,Medford - Oakland,Douglas DC 3-A-SB-3-G-14,NC16066,1907,7.0,7.0,0.0
01/13/1939,21:15,Miles City Montana,Northwest Orient Airlines,1,Chicago - Seattle,Lockheed 14-H Super Electra,NC17389,1408,4.0,4.0,0.0
03/26/1939,14:48,Oklahoma City Oklahoma,Braniff Airlines,1,Chicago - Dallas,Douglas DC-2-112,NC13727,1253,12.0,8.0,0.0
08/31/1940,14:41,Near Lovettsville Virginia,Pennsylvania Central Airlines,19,Washington D.C. - Detroit,Douglas DC-3,NC21789,2188,25.0,25.0,0.0
11/04/1940,04:42,Near Centerville Utah,United Air Lines,16,Oakland - Salt Lake City,Douglas DC-3,NC16086,1925,10.0,10.0,0.0
12/04/1940,17:48,Chicago Illinois,United Air Lines,21,New York City - Chicago,Douglas DC-3A,NC25678,2175,16.0,10.0,0.0
01/23/1941,04:13,Near Robertson Missouri,Trans Continental and Western Air,6,"Kansas City, MO - New York",Douglas DC-3-3,NC17315,1930,13.0,2.0,0.0
02/26/1941,11:50,Atlanta Georgia,Eastern Air Lines,21,New York City -  Washington D.C. - Atlanta - Brownsville,Douglas DC-3,NC28394,3204,16.0,9.0,0.0
10/03/1941,17:48,San Juan Puerto Rico,Pan American World Airways,203,Miami - Buenos Aires,Sikorsky S-42B (flying boat),NC15376,4206,15.0,2.0,0.0
