Date,Time,Location,Route,Type,Aboard
10/19/1962,20:52,Windsor Locks Connecticut,"Washington D.C. - Providence, RI",Convair CV-340/440,52.0
11/23/1962,12:24,Ellicott Maryland,Newark - Washington D.C.,Vickers Viscount 745D,18.0
11/23/1962,14:10,Le Bourget France,Frankfurt - Paris,Ilyushin IL-18D,21.0
11/27/1962,03:40,Lima Peru,Porto Alegre - Lima,Boeing B-707-441,97.0
11/30/1962,21:45,New York New York,Charlotte - New York City,Douglas DC-7B,51.0
12/06/1962,17:00,Barranca Bermeja Colombia,Bucaramanga - Barrancabermeja,Douglas C-47,26.0
12/14/1962,22:12,Burbank California,Chicago - Burbank,Lockheed 1049H Super Constellation,5.0
01/17/1963,15:53,Great Salt Lake Utah,Training,Fairchild F-27,3.0
01/29/1963,22:44,Kansas City Missouri,"Midland, TX - Kansas City, MO",Vickers Viscount 812,8.0
02/01/1963,17:15,Ankara Turkey,Nicosia - Ankara,Vickers Viscount 754D,17.0
02/12/1963,13:48,Near Miami Florida,Miami - Chicago,Boeing B-720-051B,43.0
03/02/1963,10:02,Near Davao City Philippines,Cotabato - Davao,Douglas DC-3,27.0
03/05/1963,18:20,Camden Tennesee,Kansas City - Dyersburg - Nashville,Piper PA-24-250 Comanche,4.0
03/15/1963,13:55,Near Charana Bolivia,Arica - La Paz,Douglas DC-6B,41.0
06/03/1963,10:16,PacifiOcean 116 miles WSW of Annette Island Alaska,McChord AFB - Elmendorf AFB,Douglas DC-7CF,101.0
07/02/1963,15:49,Rochester New York,Rochester - Newark,Martin 404,43.0
07/03/1963,09:09,Mt Ngatamahinerua New Zealand,Auckland - Whenuapai - Tauranga,Douglas DC-3,23.0
07/27/1963,01:50,Off Bandra Maharashtra India,Bangkok - Bombay,de Havilland Comet 4C,63.0
08/12/1963,13:19,Lyon France,Lille - Lyon,Vickers Viscount 708,20.0
09/04/1963,06:22,Durrenasch Aargau Switzerland,Zurich - Geneva,Sud-Aviation Caravelle III,80.0
10/14/1963,11:33,Jamaica New York,Idlewild - Newark,Boeing Vetrol 107 II helicopter,6.0
11/08/1963,17:59,Mariehamn Aaland Island Finland,Turku - Mariehamn,Douglas DC-3,24.0
11/29/1963,18:33,Ste Therese de Blainville Canada,Montreal - Toronto,McDonnell Douglas DC-8F-54F,118.0
12/08/1963,20:59,Elkton Maryland,Washington - Baltimore - Philadelphia,Boeing B-707-121,81.0
02/03/1964,08:00,Gainsville Florida,Gainsville - Jacksonville,Beech D18S,10.0
02/21/1964,16:00,Marawi Philippines,Cotabato - Malabang - Iligan - Cayagan de Oro,Douglas DC-3,32.0
02/25/1964,02:06,Lake Pontchartrain New Orleans Louisiana,Mexico City - New Orleans - New York City,McDonnell Douglas DC-8-21,58.0
02/27/1964,06:15,Oita Japan,Kagoshima - Oita,Convair CV-240-0,42.0
02/29/1964,14:14,Near Innsbruck Austria,London - Innsbruck,Bristol Britannia 312,83.0
03/01/1964,11:29,Near Zephyr Cove Nevada,"San Jose, CA - Lake Tahoe",Lockheed 049 Constellation,85.0
03/10/1964,08:22,Boston Massachutes,New York - Winsor Locks - Boston,Douglas DC-4,3.0
03/12/1964,20:50,Miles City Montana,Billings - Miles City - Glendive - Sidney,Douglas DC-3C,5.0
03/28/1964,22:39,Mt Vesuvius Italy,Rome - Napoli,Vickers Viscount 785D,45.0
03/28/1964,06:00,North PacifiOcean,Honolulu - San Francisco,Douglas C-54A-10-DC,9.0
05/07/1964,06:49,San Ramon California,Stockton - San Fransisco,Fairchild F-27A,44.0
11/23/1964,13:09,Rome Italy,Rome - Athens,Boeing B-707-331,73.0
07/09/1964,18:15,Parrottsville Tennesee,Philidelphia - Washington - Knoxville - Huntsville,Vickers Viscount 745D,39.0
11/15/1964,20:25,Las Vegas Nevada,Phoenix - Las Vegas,Fairchild F-27A,29.0
02/06/1965,08:36,San Jose Volcano Chile,Santiago - Buenos Aires,Douglas DC-6B,87.0
02/08/1965,18:26,Off Jones Beach New York New York,New York City - Richmond VA,Douglas DC-7B,84.0
03/08/1965,10:30,Libmanan Philippines,Manila - Naga,Douglas DC-3,12.0
03/17/1965,09:22,Musquodoboit Canada,Halifax - Sidney NS,Handley Page HPR-7 Herald 211,8.0
03/22/1965,14:55,Sugar Loaf Mountain Colombia,Bogota - Bucaramanga,Douglas C-47,28.0
04/23/1965,14:23,Near Seattle Washington,"Seattle, WA - Ogden, UT",Douglas DC-6A,5.0
05/20/1965,23:48,Cairo Egypt,Karachi - Dhahran - Cairo - Geneva - London,Boeing B-720-040B,125.0
07/01/1965,05:29,Kansas City Missouri,"Los Angeles - Kansas City, MO",Boeing B-707-124,66.0
07/08/1965,16:40,Dog Creek British Columbia Canada,Vancouver - Whitehorse,Douglas DC-6B,52.0
07/11/1965,22:22,Off Nantucket Massachusetts,Otis AFB,EC-121H (Super Constellation),19.0
08/16/1965,20:21,Lake Michigan near Chicago Illinois,New York City - Chicago,Boeing B-727-22,30.0
09/11/1965,16:25,Near La Carlota Phillipines,Cebu - Bacolod,Douglas DC-3A,11.0
09/17/1965,11:25,Montserrat Antigua,"Fort de France - Saint Johns, Antigua",Boeing B-707-121B,30.0
10/20/1965,10:33,Near Manila Philippines,Manila - Tacloban,Douglas DC-3,37.0
11/08/1965,19:02,Cincinnati Airport near Covington Kentucky,New York City - Cincinnati,Boeing B-727-23,62.0
11/11/1965,17:52,Salt Lake City Utah,Denver - Salt Lake City,Boeing B-727-22,91.0
11/27/1965,07:15,Salt Lake City  Utah,Salt Lake - Albuquerque,Douglas C-53-DO (DC-3A),13.0
12/04/1965,16:18,Carmel New York,Boston - Newark,Boeing B-707-131B / L1049C Constellation,112.0
12/16/1965,17:22,Legaspi Philippines,Manila - Legazpi,Douglas DC-3A,21.0
01/15/1966,20:55,Off Cartagena Colombia,Bogata - Crespo,Douglas DC-6-54B,64.0
01/24/1966,08:02,Mont Blanc French Alps Switzerland,Bombay - Beirut  - Geneva - Paris - London -New York,Boeing B-707-437,117.0
01/28/1966,17:50,Bremen Germany,Frankfurt - Bremen,Convair CV-440-0,46.0
02/04/1966,19:00,Tokyo Bay Japan,Chitose - Tokyo,Boeing B-727-81,133.0
03/04/1966,20:15,Near Tokyo Japan,Hong Kong - Tokyo,McDonnell Douglas DC-8-43,72.0
03/05/1966,14:15,Near Gotemba City Mt Fuji Japan,Tokyo - Hong Kong,Boeing B-707-436,124.0
03/18/1966,18:40,Cairo Egypt,Nicosia - Cairo,Antonov AN-24B,30.0
04/22/1966,20:30,Near Ardmore Oklahoma,Monterey - Ardmore,Lockheed 188C Electra,98.0
